pin,slack
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_2:Y,16551
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[5]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[5]:CLK,16174
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[5]:D,16053
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[5]:Q,16174
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:A,16747
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:B,16713
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:C,16650
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:D,16551
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_1_1:Y,16551
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[0]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[0]:CLK,16556
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[0]:D,16608
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[0]:Q,16556
rstn_1:A,
rstn_1:B,
rstn_1:Y,
button1_ibuf/U_IOIN:Y,
button1_ibuf/U_IOIN:YIN,
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_1_sqmuxa_i:A,17460
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_1_sqmuxa_i:B,16484
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_1_sqmuxa_i:C,18122
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_1_sqmuxa_i:D,18043
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2_1_sqmuxa_i:Y,16484
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[2]:A,17395
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[2]:B,15824
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[2]:C,18250
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[2]:Y,15824
rx_ibuf/U_IOIN:Y,
rx_ibuf/U_IOIN:YIN,
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5_1:A,17588
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5_1:B,17545
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5_1:C,16653
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5_1:D,17386
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5_1:Y,16653
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[2]:A,18318
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[2]:B,15669
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[2]:C,18221
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[2]:D,18130
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[2]:Y,15669
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[0]:A,15712
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[0]:B,18283
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[0]:C,16633
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[0]:Y,15712
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[1]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[1]:CLK,16154
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[1]:D,16279
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[1]:Q,16154
uart_i/COREUART_C0_0/make_RX/receive_count[0]:ALn,
uart_i/COREUART_C0_0/make_RX/receive_count[0]:CLK,15824
uart_i/COREUART_C0_0/make_RX/receive_count[0]:D,15712
uart_i/COREUART_C0_0/make_RX/receive_count[0]:EN,18873
uart_i/COREUART_C0_0/make_RX/receive_count[0]:Q,15824
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5_1_sqmuxa:A,17377
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5_1_sqmuxa:B,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5_1_sqmuxa:C,18112
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5_1_sqmuxa:D,17944
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5_1_sqmuxa:Y,17230
uart_i/COREUART_C0_0/make_RX/un1_samples8_2_0:A,17293
uart_i/COREUART_C0_0/make_RX/un1_samples8_2_0:B,17262
uart_i/COREUART_C0_0/make_RX/un1_samples8_2_0:Y,17262
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:CC[0],16003
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:CC[1],15957
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:CI,15957
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:P[0],18104
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:P[1],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:Y3A[0],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:Y3A[1],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:Y3[0],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_1:Y3[1],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[0]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[0]:CLK,16056
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[0]:D,16400
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[0]:Q,16056
uart_i/COREUART_C0_0/make_RX/rx_shift[1]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[1]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[1]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[1]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[1]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[1]:SLn,18180
uart_i/COREUART_C0_0/make_RX/rx_shift[2]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[2]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[2]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[2]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[2]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[2]:SLn,18180
uart_i/COREUART_C0_0/make_RX/un1_rx_bit_cnt_1_1.CO1:A,17553
uart_i/COREUART_C0_0/make_RX/un1_rx_bit_cnt_1_1.CO1:B,15824
uart_i/COREUART_C0_0/make_RX/un1_rx_bit_cnt_1_1.CO1:C,17462
uart_i/COREUART_C0_0/make_RX/un1_rx_bit_cnt_1_1.CO1:Y,15824
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNITQEV8[10]:B,17995
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNITQEV8[10]:CC,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNITQEV8[10]:P,17995
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNITQEV8[10]:S,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNITQEV8[10]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNITQEV8[10]:Y3A,
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[1]:A,17395
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[1]:B,16608
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[1]:C,18250
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[1]:D,18147
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[1]:Y,16608
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[0]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[0]:CLK,17592
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[0]:D,19111
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[0]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[0]:Q,17592
uart_i/COREUART_C0_0/make_RX/samples[2]:ALn,
uart_i/COREUART_C0_0/make_RX/samples[2]:CLK,16563
uart_i/COREUART_C0_0/make_RX/samples[2]:D,
uart_i/COREUART_C0_0/make_RX/samples[2]:EN,18873
uart_i/COREUART_C0_0/make_RX/samples[2]:Q,16563
uart_i/COREUART_C0_0/make_RX/rx_shift[0]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[0]:CLK,19111
uart_i/COREUART_C0_0/make_RX/rx_shift[0]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[0]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[0]:Q,19111
uart_i/COREUART_C0_0/make_RX/rx_shift[0]:SLn,18180
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[7]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[7]:CLK,18267
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[7]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[7]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[7]:Q,18267
uart_i/COREUART_C0_0/make_RX/receive_count[1]:ALn,
uart_i/COREUART_C0_0/make_RX/receive_count[1]:CLK,15862
uart_i/COREUART_C0_0/make_RX/receive_count[1]:D,15712
uart_i/COREUART_C0_0/make_RX/receive_count[1]:EN,18873
uart_i/COREUART_C0_0/make_RX/receive_count[1]:Q,15862
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[2]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[2]:CLK,16672
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[2]:D,15824
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt[2]:Q,16672
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5[0]:A,17496
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5[0]:B,16633
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5[0]:C,17402
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5[0]:D,17306
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5[0]:Y,16633
uart_i/COREUART_C0_0/make_RX/rx_shift[4]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[4]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[4]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[4]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[4]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[4]:SLn,18180
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[10]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[10]:CLK,16199
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[10]:D,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[10]:Q,16199
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5:A,17502
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5:B,17470
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5:C,17405
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5:D,17306
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_2_120_i_a5:Y,17306
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m10:A,16748
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m10:B,16723
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m10:C,16639
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m10:D,16559
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m10:Y,16559
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIRBH55[5]:B,17869
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIRBH55[5]:CC,16053
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIRBH55[5]:P,17869
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIRBH55[5]:S,16053
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIRBH55[5]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIRBH55[5]:Y3A,
I_1/U0:A,
I_1/U0:Y,
uart_i/COREUART_C0_0/make_RX/receive_count[3]:ALn,
uart_i/COREUART_C0_0/make_RX/receive_count[3]:CLK,15945
uart_i/COREUART_C0_0/make_RX/receive_count[3]:D,16564
uart_i/COREUART_C0_0/make_RX/receive_count[3]:EN,18873
uart_i/COREUART_C0_0/make_RX/receive_count[3]:Q,15945
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[4]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[4]:CLK,17489
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[4]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[4]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[4]:Q,17489
uart_reader_i/led42lto7:A,18370
uart_reader_i/led42lto7:B,16777
uart_reader_i/led42lto7:C,18267
uart_reader_i/led42lto7:D,18223
uart_reader_i/led42lto7:Y,16777
uart_i/COREUART_C0_0/make_RX/framing_error_i_RNO:A,18132
uart_i/COREUART_C0_0/make_RX/framing_error_i_RNO:B,18205
uart_i/COREUART_C0_0/make_RX/framing_error_i_RNO:Y,18132
uart_i/COREUART_C0_0/make_RX/samples[0]:ALn,
uart_i/COREUART_C0_0/make_RX/samples[0]:CLK,16672
uart_i/COREUART_C0_0/make_RX/samples[0]:D,19094
uart_i/COREUART_C0_0/make_RX/samples[0]:EN,18873
uart_i/COREUART_C0_0/make_RX/samples[0]:Q,16672
LED4_obuf/U_IOPAD:D,
LED4_obuf/U_IOPAD:E,
LED4_obuf/U_IOPAD:PAD,
uart_i/COREUART_C0_0/make_RX/rx_state_s0_0_a2:A,15704
uart_i/COREUART_C0_0/make_RX/rx_state_s0_0_a2:B,15669
uart_i/COREUART_C0_0/make_RX/rx_state_s0_0_a2:Y,15669
LED3_obuf/U_IOTRI:DOUT,
LED3_obuf/U_IOTRI:EOUT,
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5:A,17548
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5:B,17451
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5:C,17291
uart_i/COREUART_C0_0/make_RX/framing_error_int_0_sqmuxa_0_a5:Y,17291
uart_i/COREUART_C0_0/make_RX/receive_full_int:ALn,
uart_i/COREUART_C0_0/make_RX/receive_full_int:CLK,18112
uart_i/COREUART_C0_0/make_RX/receive_full_int:EN,17262
uart_i/COREUART_C0_0/make_RX/receive_full_int:Q,18112
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_8:A,16130
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_8:B,16089
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_8:C,16044
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_8:D,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_8:Y,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNO[12]:B,18229
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNO[12]:CC,15957
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNO[12]:P,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNO[12]:S,15957
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNO[12]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNO[12]:Y3A,
clk_ibuf/U_IOPAD:PAD,
clk_ibuf/U_IOPAD:Y,
tx_obuf/U_IOTRI:DOUT,
tx_obuf/U_IOTRI:EOUT,
rstn_ibuf/U_IOIN:Y,
rstn_ibuf/U_IOIN:YIN,
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[3]:A,17395
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[3]:B,15824
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[3]:C,18250
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[3]:D,18159
uart_i/COREUART_C0_0/make_RX/receive_shift.rx_bit_cnt_4[3]:Y,15824
LED2_obuf/U_IOTRI:D,
LED2_obuf/U_IOTRI:DOUT,
LED2_obuf/U_IOTRI:EOUT,
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5_0[3]:A,16672
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5_0[3]:B,16629
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5_0[3]:C,16563
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5_0[3]:D,15669
uart_i/COREUART_C0_0/make_RX/rcv_cnt.receive_count_3_i_a5_0[3]:Y,15669
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNICDNS6[7]:B,17910
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNICDNS6[7]:CC,15972
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNICDNS6[7]:P,17910
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNICDNS6[7]:S,15972
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNICDNS6[7]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNICDNS6[7]:Y3A,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIJSKD3[1]:B,17848
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIJSKD3[1]:CC,16279
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIJSKD3[1]:P,17848
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIJSKD3[1]:S,16279
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIJSKD3[1]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIJSKD3[1]:Y3A,
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1_0_sqmuxa:A,18132
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1_0_sqmuxa:B,18205
uart_i/COREUART_C0_0/make_RX/overflow_xhdl1_0_sqmuxa:Y,18132
uart_reader_i/LED4:CLK,
uart_reader_i/LED4:D,16777
uart_reader_i/LED4:Q,
uart_reader_i/LED2:CLK,
uart_reader_i/LED2:D,19111
uart_reader_i/LED2:Q,
uart_i/COREUART_C0_0/make_RX/rx_state_s1_0_a5:A,17422
uart_i/COREUART_C0_0/make_RX/rx_state_s1_0_a5:B,17377
uart_i/COREUART_C0_0/make_RX/rx_state_s1_0_a5:Y,17377
uart_i/COREUART_C0_0/make_RX/overflow_int:ALn,
uart_i/COREUART_C0_0/make_RX/overflow_int:CLK,18205
uart_i/COREUART_C0_0/make_RX/overflow_int:D,17333
uart_i/COREUART_C0_0/make_RX/overflow_int:EN,18873
uart_i/COREUART_C0_0/make_RX/overflow_int:Q,18205
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[0],
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[10],15976
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[11],15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[1],17070
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[2],16279
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[3],16073
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[4],16022
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1_RNIE7FM1_CC_0:CC[5],15994
